text,department,sentiment,id
Abbiamo trovato la camera pulita e ordinata,Housekeeping,pos,225
La camera risulta igienizzata correttamente,Housekeeping,pos,30
Durante il soggiorno il cibo è varia e gustosa,F&B,pos,39
Il personale è disorganizzato,Reception,neg,222
La camera si presenta trascurata,Housekeeping,neg,124
Abbiamo trovato la camera fresca e pulita,Housekeeping,pos,203
cmera sporca direi,Housekeeping,neg,150
La camera è trascurata,Housekeeping,neg,211
Parcheggio custodito convenzionato nelle vicinanze. Colazione nella norma. Unica pecca migliorabile è l'insonorizzazione delle stanze tra loro che non permette un corretto riposo,F&B,pos,11
Il servizio di reception è professionale,Reception,pos,77
Sono ritornato in questo albergo a distanza di anni e ho apprezzato la ristrutturazione che lo ha reso ancora più confortevole. Posizione centralissima e personale efficiente e molto cortese. Tariffe un po' troppo elevate.,Reception,pos,6
BUFFET SODDISFACENTE DIREI forse housekeeping,F&B,pos,146
Durante il soggiorno la camera è stata fresca e pulita,Housekeeping,pos,76
la F&B è tutto abbastanza buono,F&B,pos,191
nel complesso reception lenta,Reception,neg,27
tutto abbastanza buono direi,F&B,pos,126
Durante il soggiorno il cibo è ottima,F&B,pos,70
La camera risulta maleodorante,Housekeeping,neg,93
La camera risulta fresca e pulita,Housekeeping,pos,157
La reception risulta cordiale,Reception,pos,0
durante il soggiorno cibo ok reception o forse ristorante,F&B,pos,140
La camera si presenta impeccabile,Housekeeping,pos,82
nel complesso camera pulitissima,Housekeeping,pos,28
CIBO FREDDO ALLA F&B,F&B,neg,103
Nel complesso personale ok area servizio,Reception,pos,168
CIBO OK ALLA F&B non so se housekeeping o reception,F&B,pos,164
Il servizio di reception è molto disponibile,Reception,pos,172
La camera si presenta non pulita,Housekeeping,neg,176
La camera risulta con scarsa igiene,Housekeeping,neg,18
Il personale è professionale,Reception,pos,9
PERSONALE OK DIREI forse housekeeping,Reception,pos,176
buffet soddisfacente alla F&B area servizzio,F&B,pos,196
L'accoglienza è stata lento,Reception,neg,73
Il servizio di ristorazione è scarsa,F&B,neg,234
DURANTE IL SOGGIORNO STAFF GENTILE area servizioo,Reception,pos,36
PERSONALE SCORTESE DIREI,Reception,neg,64
La camera è pulita e ordinata,Housekeeping,pos,55
Il servizio di ristorazione è poco varia,F&B,neg,90
camera lasciata male alla Housekeeping,Housekeeping,neg,169
Abbiamo trovato la camera non pulita,Housekeeping,neg,79
CAMERA SPORCA ALLA HOUSEKEEPING,Housekeeping,neg,74
la Reception è staff gentile area servizio,Reception,pos,198
Durante il soggiorno la camera è stata piena di polvere,Housekeeping,neg,209
