text,department,sentiment,id
L'accoglienza è stata poco professionale,Reception,neg,225
Il buffet è scarsa,F&B,neg,30
La reception risulta attento alle richieste,Reception,pos,39
Il personale è professionale,Reception,pos,222
Durante il soggiorno il personale è stato scortese,Reception,neg,124
Durante il soggiorno la camera è stata piena di polvere,Housekeeping,neg,203
La reception è accoglienza buona forse housekeeping,Reception,pos,150
Il personale si è dimostrato gentile,Reception,pos,211
Parcheggio custodito convenzionato nelle vicinanze. Colazione nella norma. Unica pecca migliorabile è l'insonorizzazione delle stanze tra loro che non permette un corretto riposo,F&B,pos,11
La camera si presenta non pulita,Housekeeping,neg,77
Sono ritornato in questo albergo a distanza di anni e ho apprezzato la ristrutturazione che lo ha reso ancora più confortevole. Posizione centralissima e personale efficiente e molto cortese. Tariffe un po' troppo elevate.,Reception,pos,6
durante il soggiorno personale scortese,Reception,neg,146
Durante il soggiorno il personale è stato inefficiente,Reception,neg,76
NEL COMPLESSO NON ERA PULITA BENE forse housekeeping,Housekeeping,neg,191
NEL COMPLESSO BUONA PULIZIA GENERALE forse housekeeping,Housekeeping,pos,27
La housekeeping è camera pulitissima area servizzio,Housekeeping,pos,126
L'offerta gastronomica è apprezzabile,F&B,pos,70
Il servizio di ristorazione è buona,F&B,pos,93
La camera si presenta poco curata,Housekeeping,neg,157
Durante il soggiorno il cibo è ottima,F&B,pos,0
Durante il soggiorno cibo freddo area servizio,F&B,neg,140
Il livello di pulizia è fresca e pulita,Housekeeping,pos,82
DURANTE IL SOGGIORNO PERSONALE OK,Reception,pos,28
La reception è personale ok,Reception,pos,103
RECEPTION VELOCE DIREI area servizio,Reception,pos,168
Durante il soggiorno buffet soddisfacente area servizio,F&B,pos,164
Abbiamo trovato la camera in ottime condizioni,Housekeeping,pos,172
Il servizio di reception è poco disponibile,Reception,neg,176
Il servizio di reception è scortese,Reception,neg,18
Il servizio di reception è ben organizzato,Reception,pos,9
Durante il soggiorno camera sporca,Housekeeping,neg,176
DURANTE IL SOGGIORNO CAMERA LASCIATA MALE,Housekeeping,neg,196
L'accoglienza è stata poco disponibile,Reception,neg,73
Il servizio di reception è gentile,Reception,pos,234
colazone scarsa direi,F&B,neg,36
Nel complesso qualità bassa,F&B,neg,64
La qualità del cibo è apprezzabile,F&B,pos,55
Il servizio di ristorazione è apprezzabile,F&B,pos,90
la F&B è cibo ok,F&B,pos,169
La camera è maleodorante,Housekeeping,neg,79
DURANTE IL SOGGIORNO PULIZIA SCARSA,Housekeeping,neg,74
LA RECEPTION È STAFF GENTILE,Reception,pos,198
La qualità del cibo è poco varia,F&B,neg,209
Il personale è disorganizzato,Reception,neg,173
Il personale si è dimostrato inefficiente,Reception,neg,185
Il servizio di ristorazione è ottima,F&B,pos,72
La colazione è poco varia,F&B,neg,148
La colazione è ben preparata,F&B,pos,78
Il buffet è di qualità,F&B,pos,126
Durante il soggiorno la camera è stata sporca,Housekeeping,neg,132
Hotel un po' retrò nelle immediate vicinanze della stazione ferroviaria di Bari. Internamente curato. Stanze spaziose e confortevoli. Silenziose la sera almeno lato strada. Molto pulite. Reception cortese. Buona la prima colazione.,Reception,pos,22
Durante il soggiorno la camera è stata ben mantenuta,Housekeeping,pos,75
LA F&B È CIBO OK forse housekeeping,F&B,pos,197
La camera è non pulita,Housekeeping,neg,195
Il livello di pulizia è impeccabile,Housekeeping,pos,131
La camera si presenta impeccabile,Housekeeping,pos,227
ATTESA LUNGA ALLA RECEPTION non so se housekeeping o reception,Reception,neg,114
Abbiamo trovato la camera ben mantenuta,Housekeeping,pos,33
Cibo ok direi reception o forse ristorante,F&B,pos,44
Nel complesso tutto ok con la stanza area servizio,Housekeeping,pos,166
cibo freddo alla F&B,F&B,neg,157
Il personale è poco disponibile,Reception,neg,140
Durante il soggiorno il personale è stato disorganizzato,Reception,neg,11
la Housekeeping è camera sporca,Housekeeping,neg,155
La camera è sporca,Housekeeping,neg,15
LA RECEPTION È ATTESA LUNGA,Reception,neg,112
nel complesso camera davvero in ordine non so se housekeeping o reception,Housekeeping,pos,107
Il servizio di reception è efficiente,Reception,pos,19
CAMERA PULITISSIMA ALLA HOUSEKEEPING,Housekeeping,pos,46
Nel complesso colazionee buona reception o forse ristorante,F&B,pos,55
La camera risulta piena di polvere,Housekeeping,neg,56
Abbiamo trovato la camera fresca e pulita,Housekeeping,pos,196
pulizia scarsa alla Housekeeping,Housekeeping,neg,41
POCO ASSORTIMENTO DIREI,F&B,neg,54
L'offerta gastronomica è deludente,F&B,neg,113
La reception risulta disorganizzato,Reception,neg,155
nel complesso personale scortese non so se housekeeping o reception,Reception,neg,142
La colazione è soddisfacente,F&B,pos,25
Tutto ok con la stanza alla housekeeping,Housekeeping,pos,121
La housekeeping è camera pulitissima non so se housekeeping o reception,Housekeeping,pos,5
La reception risulta poco professionale,Reception,neg,180
La camera si presenta piena di polvere,Housekeeping,neg,42
Nel complesso colazionee scarsa reception o forse ristorante,F&B,neg,51
L'accoglienza è stata ben organizzato,Reception,pos,101
nel complesso tutto abbastanza buono area servizio,F&B,pos,180
NEL COMPLESSO CAMERA PULITISSIMA,Housekeeping,pos,134
Il personale è molto disponibile,Reception,pos,137
Personale scortese alla reception,Reception,neg,48
La reception risulta scortese,Reception,neg,22
nel complesso camra pulitissima reception o forse ristorante,Housekeeping,pos,108
La camera risulta igienizzata correttamente,Housekeeping,pos,46
Durante il soggiorno il cibo è deludente,F&B,neg,168
LA RECEPTION È ACCOGLIENZA BUONA,Reception,pos,97
Durante il soggiorno attesa lunga,Reception,neg,160
PULIZIA SCARSA DIREI,Housekeeping,neg,15
Durante il soggiorno la camera è stata con scarsa igiene,Housekeeping,neg,57
La camera risulta con scarsa igiene,Housekeeping,neg,199
Il buffet è di bassa qualità,F&B,neg,175
L'offerta gastronomica è ottima,F&B,pos,24
Il servizio di ristorazione è poco varia,F&B,neg,17
Durante il soggiorno la camera è stata perfettamente ordinata,Housekeeping,pos,66
CIBO OK DIREI,F&B,pos,167
Durante il soggiorno il cibo è non soddisfacente,F&B,neg,86
Durante il soggiorno il personale è stato ben organizzato,Reception,pos,31
Il servizio di reception è attento alle richieste,Reception,pos,84
persoale ok direi,Reception,pos,66
La reception è attesa lunga area servizioo,Reception,neg,192
Il livello di pulizia è poco curata,Housekeeping,neg,192
Durante il soggiorno il personale è stato attento alle richieste,Reception,pos,117
Il servizio di ristorazione è non soddisfacente,F&B,neg,94
durante il soggiorno buffet soddisfacente,F&B,pos,0
cameraa lasciata male direi,Housekeeping,neg,187
Il personale si è dimostrato poco professionale,Reception,neg,249
Hotel molto comodo al centro. Stanze pulite e spaziose... Noi ci siamo trovati molto bene. Il ragazzo alla reception molto gentile. Consigliatissimo,Reception,pos,2
La camera si presenta maleodorante,Housekeeping,neg,237
Abbiamo trovato la camera maleodorante,Housekeeping,neg,220
L'offerta gastronomica è di qualità,F&B,pos,104
STAFF GENTILE DIREI reception o forse ristorante,Reception,pos,47
Il servizio di ristorazione è di qualità,F&B,pos,5
Abbiamo trovato la camera piena di polvere,Housekeeping,neg,116
La qualità del cibo è fredda,F&B,neg,45
La f&b è colazionee scarsa forse housekeeping,F&B,neg,57
Il livello di pulizia è piena di polvere,Housekeeping,neg,228
Nel complesso reception veloce,Reception,pos,148
personale ok direi,Reception,pos,40
La camera si presenta fresca e pulita,Housekeeping,pos,16
NEL COMPLESSO CIBO OK reception o forse ristorante,F&B,pos,177
Durante il soggiorno il personale è stato poco disponibile,Reception,neg,63
CAMERA DAVVERO IN ORDINE ALLA HOUSEKEEPING,Housekeeping,pos,79
Durante il soggiorno il cibo è di bassa qualità,F&B,neg,3
L'offerta gastronomica è scarsa,F&B,neg,153
Il buffet è soddisfacente,F&B,pos,60
Durante il soggiorno il cibo è varia e gustosa,F&B,pos,110
reception veloce direi,Reception,pos,83
L'accoglienza è stata lento,Reception,neg,229
L'offerta gastronomica è varia e gustosa,F&B,pos,29
Durante il soggiorno la camera è stata ben curata,Housekeeping,pos,154
Il personale si è dimostrato professionale,Reception,pos,231
L'offerta gastronomica è fredda,F&B,neg,26
La colazione è di bassa qualità,F&B,neg,7
DURANTE IL SOGGIORNO COLAZIONE SCARSA,F&B,neg,170
Durante il soggiorno la camera è stata molto pulita,Housekeeping,pos,108
Abbiamo trovato la camera ben curata,Housekeeping,pos,238
STAFF GENTILE ALLA RECEPTION non so se housekeeping o reception,Reception,pos,181
Abbiamo trovato la camera perfettamente ordinata,Housekeeping,pos,118
Il servizio di ristorazione è scarsa,F&B,neg,114
Personale ok direi forse housekeeping,Reception,pos,110
NON ERA PULITA BENE DIREI,Housekeeping,neg,171
La colazione è ottima,F&B,pos,239
SERVIZIO NON BUONO ALLA RECEPTION non so se housekeeping o reception,Reception,neg,91
CIBO OK DIREI area servizzio,F&B,pos,101
LA HOUSEKEEPING È CAMERA LASCIATA MALE,Housekeeping,neg,131
nel complesso colazione scarsa non so se housekeeping o reception,F&B,neg,129
La colazione è di qualità,F&B,pos,181
Buona pulizia generale alla housekeeping reception o forse ristorante,Housekeeping,pos,162
La reception risulta inefficiente,Reception,neg,141
la Reception è reception lenta,Reception,neg,118
Il livello di pulizia è igienizzata correttamente,Housekeeping,pos,244
COLAZIONE SCARSA DIREI reception o forse ristorante,F&B,neg,130
LA F&B È TUTTO ABBASTANZA BUONO reception o forse ristorante,F&B,pos,70
Il livello di pulizia è con scarsa igiene,Housekeeping,neg,109
La qualità del cibo è non soddisfacente,F&B,neg,208
Il servizio di ristorazione è fredda,F&B,neg,145
LA RECEPTION È RECEPTION VELOCE,Reception,pos,75
La camera risulta impeccabile,Housekeeping,pos,152
colazione scarsa direi,F&B,neg,154
L'offerta gastronomica è buona,F&B,pos,193
L'accoglienza è stata disorganizzato,Reception,neg,83
LA HOUSEKEEPING È TUTTO OK CON LA STANZA non so se housekeeping o reception,Housekeeping,pos,144
L'accoglienza è stata molto disponibile,Reception,pos,165
Nel complesso staff gentile,Reception,pos,30
La camera è grande e carina..accogliente e con frigobar.ottima colazione! È vicino ai luoghi come la cattedrale e la basilica...ma anche a tutti i locali,F&B,neg,44
L'accoglienza è stata gentile,Reception,pos,74
Colazione buona direi reception o forse ristorante,F&B,pos,179
CAMERA SPORCA ALLA HOUSEKEEPING,Housekeeping,neg,67
La reception risulta ben organizzato,Reception,pos,210
L'accoglienza è stata cordiale,Reception,pos,119
DURANTE IL SOGGIORNO ACCOGLIENZA BUONA reception o forse ristorante,Reception,pos,190
Nel complesso cibo freddo reception o forse ristorante,F&B,neg,159
Durante il soggiorno cameraa davvero in ordine,Housekeeping,pos,125
nel complesso camera lasciata male reception o forse ristorante,Housekeeping,neg,105
Hotel pulito e in posizione strategica.,Housekeeping,pos,10
la Housekeeping è camera lasciata male reception o forse ristorante,Housekeeping,neg,84
Durante il soggiorno staff gentile,Reception,pos,25
Nel complesso non era pulita bene,Housekeeping,neg,104
Durante il soggiorno la camera è stata igienizzata correttamente,Housekeeping,pos,245
La colazione è deludente,F&B,neg,36
La reception risulta lento,Reception,neg,139
QUALITÀ BASSA ALLA F&B,F&B,neg,86
L'offerta gastronomica è ben preparata,F&B,pos,204
DURANTE IL SOGGIORNO POCO ASSORTIMENTO,F&B,neg,152
ACCOGLIENZA BUONA DIREI non so se housekeeping o reception,Reception,pos,11
L'accoglienza è stata efficiente,Reception,pos,59
Il servizio di ristorazione è di bassa qualità,F&B,neg,111
Il personale è gentile,Reception,pos,248
Durante il soggiorno cibo freddo,F&B,neg,37
L'offerta gastronomica è di bassa qualità,F&B,neg,6
Durante il soggiorno colazzione buona,F&B,pos,82
LA HOUSEKEEPING È TUTTO OK CON LA STANZA,Housekeeping,pos,68
La camera risulta trascurata,Housekeeping,neg,158
Abbiamo trovato la camera non pulita,Housekeeping,neg,150
Durante il soggiorno la camera è stata impeccabile,Housekeeping,pos,177
Durante il soggiorno il personale è stato gentile,Reception,pos,184
Durante il soggiorno il personale è stato efficiente,Reception,pos,10
Qualità bassa direi area servizio,F&B,neg,72
Il buffet è non soddisfacente,F&B,neg,103
Il servizio di ristorazione è soddisfacente,F&B,pos,81
L'accoglienza è stata attento alle richieste,Reception,pos,38
accoglienza buona alla Reception forse housekeeping,Reception,pos,96
Il livello di pulizia è trascurata,Housekeeping,neg,167
La housekeeping è camera davvero in ordine reception o forse ristorante,Housekeeping,pos,183
Attesa lunga direi,Reception,neg,88
La camera risulta poco curata,Housekeeping,neg,198
Nel complesso cameraa lasciata male,Housekeeping,neg,21
NEL COMPLESSO COLAZIONE BUONA,F&B,pos,61
La camera è in ottime condizioni,Housekeeping,pos,218
Durante il soggiorno il personale è stato molto disponibile,Reception,pos,194
Il servizio di ristorazione è ben preparata,F&B,pos,89
Nel complesso cibo freddo,F&B,neg,3
La qualità del cibo è buona,F&B,pos,163
LA F&B È POCO ASSORTIMENTO,F&B,neg,161
Il buffet è apprezzabile,F&B,pos,147
Il personale si è dimostrato attento alle richieste,Reception,pos,2
La camera è impeccabile,Housekeeping,pos,92
durante il soggiorno servizio non buono,Reception,neg,120
L'offerta gastronomica è non soddisfacente,F&B,neg,69
durante il soggiorno buona pulizia generale,Housekeeping,pos,12
La camera si presenta sporca,Housekeeping,neg,123
BUFFET SODDISFACENTE DIREI area servizioo,F&B,pos,90
La camera è ben mantenuta,Housekeeping,pos,96
La camera si presenta con scarsa igiene,Housekeeping,neg,143
durante il soggiorno persoale scortese,Reception,neg,99
durante il soggiorno camera sporca reception o forse ristorante,Housekeeping,neg,199
La camera si presenta in ottime condizioni,Housekeeping,pos,246
Il buffet è poco varia,F&B,neg,97
durante il soggiorno cameraa pulitissima,Housekeeping,pos,34
Il livello di pulizia è molto pulita,Housekeeping,pos,68
Durante il soggiorno il personale è stato lento,Reception,neg,23
Il servizio di reception è lento,Reception,neg,37
Abbiamo trovato la camera igienizzata correttamente,Housekeeping,pos,144
Il personale è ben organizzato,Reception,pos,122
La camera è con scarsa igiene,Housekeeping,neg,183
Il livello di pulizia è in ottime condizioni,Housekeeping,pos,202
Il livello di pulizia è ben curata,Housekeeping,pos,182
Il livello di pulizia è pulita e ordinata,Housekeeping,pos,67
L'offerta gastronomica è poco varia,F&B,neg,247
NON ERA PULITA BENE DIREI non so se housekeeping o reception,Housekeeping,neg,115
Nel complesso reception lenta forse housekeeping,Reception,neg,22
BUFFET SODDISFACENTE ALLA F&B area servizioo,F&B,pos,73
Camera lasciata male direi,Housekeeping,neg,24
la F&B è tutto abbastanza buono area servizio,F&B,pos,117
Accoglienza buona alla reception,Reception,pos,136
La qualità del cibo è soddisfacente,F&B,pos,125
Durante il soggiorno il cibo è apprezzabile,F&B,pos,146
TUTTO OK CON LA STANZA ALLA HOUSEKEEPING area servizio,Housekeeping,pos,102
BUONA PULIZIA GENERALE ALLA HOUSEKEEPING non so se housekeeping o reception,Housekeeping,pos,184
L'accoglienza è stata scortese,Reception,neg,223
non era pulitaa bene direi,Housekeeping,neg,138
Durante il soggiorno il cibo è poco varia,F&B,neg,219
Il personale si è dimostrato lento,Reception,neg,129
La housekeeping è tutto ok con la stanza reception o forse ristorante,Housekeeping,pos,139
Cibo ok direi area servizio,F&B,pos,153
personale ok alla Reception,Reception,pos,52
Posizione ottima e petsonale gentile e cortese sono i punti di forza.,Reception,pos,43
LA HOUSEKEEPING È CAMERA PULITISSIMA,Housekeeping,pos,16
COLAZIONE BUONA ALLA F&B,F&B,pos,149
CIBO FREDDO DIREI,F&B,neg,18
STAFF GENTILE DIREI,Reception,pos,182
La camera è igienizzata correttamente,Housekeeping,pos,112
La reception risulta gentile,Reception,pos,179
DURANTE IL SOGGIORNO COLAZIONE BUONA,F&B,pos,31
TUTTO ABBASTANZA BUONO ALLA F&B forse housekeeping,F&B,pos,62
CAMERA DAVVERO IN ORDINE DIREI,Housekeeping,pos,127
NEL COMPLESSO COLAZIONE BUONA forse housekeeping,F&B,pos,194
La housekeeping è cameraa lasciata male,Housekeeping,neg,81
Il personale si è dimostrato molto disponibile,Reception,pos,233
Tutto abbastanza buono direi,F&B,pos,39
La camera risulta ben curata,Housekeeping,pos,164
Durante il soggiorno il cibo è fredda,F&B,neg,136
La camera si presenta ben mantenuta,Housekeeping,pos,197
nel complesso personale ok forse housekeeping,Reception,pos,8
Il buffet è buona,F&B,pos,232
Durante il soggiorno il cibo è soddisfacente,F&B,pos,115
Abbiamo trovato la camera pulita e ordinata,Housekeeping,pos,120
CIBO OK ALLA F&B,F&B,pos,71
La camera risulta pulita e ordinata,Housekeeping,pos,224
Durante il soggiorno cibo ok non so se housekeeping o reception,F&B,pos,123
nel complesso camra sporca,Housekeeping,neg,60
La qualità del cibo è di qualità,F&B,pos,127
LA F&B È COLAZIONE BUONA,F&B,pos,35
nel complesso reception veloce non so se housekeeping o reception,Reception,pos,132
Durante il soggiorno la camera è stata maleodorante,Housekeeping,neg,107
reception veloce alla Reception,Reception,pos,92
LA HOUSEKEEPING È NON ERA PULITA BENE,Housekeeping,neg,49
La colazione è scarsa,F&B,neg,133
LA F&B È BUFFET SODDISFACENTE,F&B,pos,85
L'accoglienza è stata professionale,Reception,pos,44
Nel complesso poco assortimento,F&B,neg,175
Il livello di pulizia è perfettamente ordinata,Housekeeping,pos,65
Nel complesso poco assortimento forse housekeeping,F&B,neg,33
Il personale si è dimostrato scortese,Reception,neg,85
La colazione è fredda,F&B,neg,242
Il servizio di reception è poco professionale,Reception,neg,186
La reception risulta efficiente,Reception,pos,159
La camera si presenta trascurata,Housekeeping,neg,12
Il servizio di reception è inefficiente,Reception,neg,35
Il servizio di reception è molto disponibile,Reception,pos,28
La camera si presenta pulita e ordinata,Housekeeping,pos,170
Il personale è efficiente,Reception,pos,142
personale scortese direi,Reception,neg,119
Buffet soddisfacente alla f&b,F&B,pos,156
Il buffet è deludente,F&B,neg,221
Il personale si è dimostrato efficiente,Reception,pos,95
La qualità del cibo è di bassa qualità,F&B,neg,51
Abbiamo trovato la camera impeccabile,Housekeeping,pos,240
durante il soggiorno tutto abbastanza buono,F&B,pos,106
Colazione buona direi,F&B,pos,128
Il personale si è dimostrato poco disponibile,Reception,neg,178
Il personale è attento alle richieste,Reception,pos,41
durante il soggiorno reception veloce,Reception,pos,141
La qualità del cibo è varia e gustosa,F&B,pos,206
NON ERA PULITA BENE ALLA HOUSEKEEPING,Housekeeping,neg,32
DURANTE IL SOGGIORNO RECEPTION VELOCE forse housekeeping,Reception,pos,4
Durante il soggiorno buona pulizia generale non so se housekeeping o reception,Housekeeping,pos,133
La colazione è apprezzabile,F&B,pos,4
NEL COMPLESSO TUTTO ABBASTANZA BUONO,F&B,pos,6
