text,department,sentiment,id
Abbiamo trovato la camera pulita e ordinata,Housekeeping,pos,225
La camera risulta igienizzata correttamente,Housekeeping,pos,30
Durante il soggiorno il cibo è varia e gustosa,F&B,pos,39
Il personale è disorganizzato,Reception,neg,222
La camera si presenta trascurata,Housekeeping,neg,124
Abbiamo trovato la camera fresca e pulita,Housekeeping,pos,203
LA RECEPTION È ATTESA LUNGA forse housekeeping,Reception,neg,150
La camera è trascurata,Housekeeping,neg,211
Parcheggio custodito convenzionato nelle vicinanze. Colazione nella norma. Unica pecca migliorabile è l'insonorizzazione delle stanze tra loro che non permette un corretto riposo,F&B,pos,11
Il servizio di reception è professionale,Reception,pos,77
Sono ritornato in questo albergo a distanza di anni e ho apprezzato la ristrutturazione che lo ha reso ancora più confortevole. Posizione centralissima e personale efficiente e molto cortese. Tariffe un po' troppo elevate.,Reception,pos,6
LA HOUSEKEEPING È BUONA PULIZIA GENERALE non so se housekeeping o reception,Housekeeping,pos,146
Durante il soggiorno la camera è stata fresca e pulita,Housekeeping,pos,76
PERSONALE SCORTESE ALLA RECEPTION,Reception,neg,191
Durante il soggiorno tutto ok con la stanza area servizio,Housekeeping,pos,27
Durante il soggiorno tutto abbastanza buono,F&B,pos,126
Durante il soggiorno il cibo è ottima,F&B,pos,70
La camera risulta maleodorante,Housekeeping,neg,93
La camera risulta fresca e pulita,Housekeeping,pos,157
La reception risulta cordiale,Reception,pos,0
NEL COMPLESSO BUFFET SODDISFACENTE,F&B,pos,140
La camera si presenta impeccabile,Housekeeping,pos,82
Nel complesso buffet soddisfacente forse housekeeping,F&B,pos,28
TUTTO ABBASTANZA BUONO ALLA F&B,F&B,pos,103
TUTTO ABBASTANZA BUONO DIREI,F&B,pos,168
Durante il soggiorno pulizia scarsa reception o forse ristorante,Housekeeping,neg,164
Il servizio di reception è molto disponibile,Reception,pos,172
La camera si presenta non pulita,Housekeeping,neg,176
La camera risulta con scarsa igiene,Housekeeping,neg,18
Il personale è professionale,Reception,pos,9
reception lenta direi area servizio,Reception,neg,176
La f&b è cibo freddo reception o forse ristorante,F&B,neg,196
L'accoglienza è stata lento,Reception,neg,73
Il servizio di ristorazione è scarsa,F&B,neg,234
BUONA PULIZIA GENERALE ALLA HOUSEKEEPING reception o forse ristorante,Housekeeping,pos,36
camera pulitissima direi,Housekeeping,pos,64
La camera è pulita e ordinata,Housekeeping,pos,55
Il servizio di ristorazione è poco varia,F&B,neg,90
DURANTE IL SOGGIORNO CAMERA PULITISSIMA area servizzio,Housekeeping,pos,169
